year,doy,RDD,TMMN,TMMX,VPD,U2,P
2023,91,23500,7.26,27.32,0.49,1.2,0
2023,92,25710,7.28,27.61,0.47,1.7,0
2023,93,25480,9.59,26.29,0.44,4.6,0
2023,94,26150,4.81,16.26,0.21,3.6,0
2023,95,25890,4.23,19.83,0.26,1.2,0
2023,96,21990,5.89,25.48,0.35,1.1,0
2023,97,23560,8.62,27.28,0.43,1,0
2023,98,24190,10.06,27.22,0.44,1.4,0
2023,99,26210,13.3,31.12,0.53,1,0
2023,100,26440,14.32,35.88,0.57,1.3,0
2023,101,26000,15.95,36.64,0.65,1.5,0
2023,102,22440,14.71,33.36,0.5,3.1,0
2023,103,22720,13.83,28.13,0.61,3.7,0
2023,104,26690,10.05,25.62,0.73,2.8,0
2023,105,26790,10.73,29.08,0.66,1.5,0
2023,106,26630,13.8,32.61,0.58,1.3,0
2023,107,27200,13.41,32.48,0.59,2,0
2023,108,25660,12.26,29.96,0.47,3.3,0
2023,109,27640,12.27,26.75,0.44,2.8,0
2023,110,27870,11.33,28.81,0.38,2,0
2023,111,27930,11.9,31.44,0.43,1.5,0
2023,112,27180,16.04,32.9,0.6,1.6,0
2023,113,27560,18.17,33.99,0.69,1.8,0
2023,114,26920,13.74,32.65,0.59,2.7,0
2023,115,27530,14.72,33.04,0.77,3.4,0
2023,116,28440,15.05,31.07,0.48,2.4,0
2023,117,28090,14.21,34.23,0.54,1.5,0
2023,118,28380,15.5,35.8,0.56,1.5,0
2023,119,28940,14.36,37.06,0.59,1.4,0
2023,120,26930,18.69,38.35,0.55,1.6,0
2023,121,28300,19.3,34.21,0.57,5.7,0
2023,122,28060,14.91,32.39,0.67,2.6,0
2023,123,28080,16.32,32.44,0.8,3.4,0
2023,124,28660,13.08,27.78,0.71,3.3,0
2023,125,28550,11.05,27.87,0.71,2.1,0
2023,126,29110,11.44,30.8,0.66,1.9,0
2023,127,28950,12.9,32.06,0.61,2,0
2023,128,29430,15.99,34.03,0.59,1.9,0
2023,129,29140,14.62,34.21,0.58,2.3,0
2023,130,27360,14.21,26.55,0.58,2.9,0
2023,131,29120,13.63,31.36,0.57,1.4,0
2023,132,29050,14.38,34.79,0.64,1.9,52.9288375
2023,133,29060,16.5,36.76,0.65,2.5,63.514605
2023,134,28800,19.36,37.55,0.88,2.5,63.514605
2023,135,27280,21.03,39.19,1.09,2.3,0
2023,136,27730,21.63,39.3,1.16,2.7,1.8
2023,137,25640,21.25,37.02,1.44,2.2,0
2023,138,26090,23.39,35.33,1.41,3.5,0
2023,139,19840,21.26,32.32,1.55,2.6,0
2023,140,28090,18.65,36.2,1.24,1.6,0
2023,141,28940,19.03,37.76,1.05,1.9,0
2023,142,29730,20.55,38.31,0.83,2.3,0
2023,143,30280,19.87,38.77,0.6,2.5,0
2023,144,30140,19.56,37.35,0.67,2.9,0
2023,145,30730,18.51,37.88,0.58,2.9,0
2023,146,30380,18.19,36.24,0.66,3.1,0
2023,147,30370,18.01,36.99,0.64,1.9,0
2023,148,30670,17.62,38.18,0.57,2.7,0
2023,149,30520,18.01,37.77,0.64,2.7,0
2023,150,30440,18.59,36.83,0.67,2.7,0
2023,151,29510,17.62,32.69,0.64,3.6,58.22172125
2023,152,30240,16.27,33.45,0.74,1.9,42.34307
2023,153,29910,18.67,35.1,0.8,1.7,0
2023,154,30030,18.08,37.98,0.88,2.1,0
2023,155,30290,19.89,39.71,0.71,2.3,0
2023,156,29680,22,40.37,0.51,2.9,0
2023,157,30480,21.51,36.97,0.49,3.3,0
2023,158,30730,18.19,36.05,0.52,2.3,0
2023,159,28980,17.73,35.26,0.51,2,0
2023,160,29520,19.34,35.26,0.6,1.9,0
2023,161,29560,19.74,37.63,0.58,2.1,0
2023,162,30360,18.01,33.94,0.76,3.5,0
2023,163,30210,17.24,34.14,0.93,2,29.11086063
2023,164,30280,18.08,35.42,0.96,1.9,0
2023,165,30310,19.01,38.05,0.88,2,0
2023,166,29720,20.12,37.78,0.87,1.9,0
2023,167,30770,20.52,39.42,0.69,2.2,21.171535
2023,168,30620,20.89,40.03,0.74,1.8,0
2023,169,30420,23.38,42.17,0.67,2.9,0
2023,170,28470,22.37,40.84,0.6,2.2,0
2023,171,30900,23.02,40.49,0.74,2.3,0
2023,172,29840,22.42,40.37,0.65,2.1,0
2023,173,30720,21.32,41.06,0.53,2.4,0
2023,174,31490,19.14,38.28,0.44,2,31.7573025
2023,175,31650,20.15,40.77,0.43,1.4,0
2023,176,29970,24.07,43.95,0.58,1.7,0
2023,177,27580,24.65,44.47,0.57,1.5,0
2023,178,30380,23.66,42.85,0.65,2.2,0
2023,179,30100,23.3,42.1,0.9,2.1,0
2023,180,30790,21.62,41.23,0.63,1.7,42.34307
2023,181,30520,22.22,42.28,0.72,1.6,0
2023,182,30150,24.76,44.43,0.72,2.1,0
2023,183,29940,26.05,45.23,0.8,3.1,0
2023,184,29920,25.99,45.81,0.96,3,42.34307
2023,185,29600,25.26,44.39,0.94,2.9,0
2023,186,29760,25.48,44.15,0.97,2.2,31.7573025
2023,187,29330,26.33,45.81,1,2.5,0
2023,188,29670,25.84,44.88,0.89,2,15.87865125
2023,189,29440,26.05,44.59,0.91,2,0
2023,190,29190,27.73,41.13,0.91,2.1,0
2023,191,27070,27.47,43.5,1.47,1.9,21.171535
2023,192,26650,31,43.92,1.93,2.2,52.9288375
2023,193,26190,30.05,43.86,1.67,2.6,21.171535
2023,194,27510,29.62,45.04,1.65,2.8,0
2023,195,26850,30.05,43.13,1.56,2.6,105.857675
2023,196,27990,29.62,43.82,1.6,3,0
2023,197,23560,29.99,45.65,1.8,2.7,0
2023,198,28000,30.24,46.73,1.79,2.9,84.68614
2023,199,26560,30.7,47.19,1.74,1.8,0
2023,200,28450,30.98,47.78,1.57,2.2,42.34307
2023,201,28570,31.58,47.67,1.41,2.2,84.68614
2023,202,28260,29.29,45.83,1.47,2.9,84.68614
2023,203,25680,32.05,45.03,1.56,2.7,0
2023,204,18970,29.93,45,1.75,2.3,0
2023,205,25490,30.12,45.62,1.61,2.3,84.68614
2023,206,27740,28.94,46.98,1.58,1.7,52.9288375
2023,207,27310,29.98,46.8,1.64,3.6,42.34307
2023,208,25930,29.3,46.15,1.74,2.2,47.63595375
2023,209,24400,31.8,43.64,1.82,2.3,84.68614
2023,210,26160,30.86,45.3,1.74,1.8,0
2023,211,23610,29.73,43.19,1.85,3.3,42.64307
2023,212,25100,26.62,40.76,2.11,2.3,0
2023,213,26220,27.52,42.01,1.98,1.6,0
2023,214,24900,29.74,43.3,1.64,2.4,0
2023,215,27310,28.01,43.89,1.38,1.9,0
2023,216,28080,26.03,44.99,1,1.6,47.63595375
2023,217,27910,28.2,46.65,0.92,2.2,0
2023,218,25690,28.67,44.77,1.47,2.3,0
2023,219,25580,30.37,43.99,2.03,2,84.68614
2023,220,25690,30.57,42.25,2,3.1,0
2023,221,25660,28.26,42.79,1.94,2.5,15.87865125
2023,222,23710,28.23,41.7,1.7,2.6,63.514605
2023,223,23520,27.81,40.68,1.72,2.5,84.68614
2023,224,26940,27.92,41.82,1.5,2.3,0
2023,225,23250,27.93,42.48,1.54,1.9,0
2023,226,17040,28.16,42.08,1.56,1.4,42.34307
2023,227,23690,29.58,43.37,1.81,3,0
2023,228,21210,29.32,44.95,1.89,2.3,21.171535
2023,229,23920,28.92,44.89,1.88,2,23.171535
2023,230,19830,29.23,40.61,1.96,2.7,84.68614
2023,231,15760,26.98,35.77,2.18,3,0
2023,232,12450,25.08,37.69,2.13,4.9,0
2023,233,9880,24.44,36.29,2.27,2.1,4.6
2023,234,25620,25.3,39.04,2.18,1.4,0
2023,235,23770,26.63,38.98,1.94,3,31.7573025
2023,236,24170,26.48,40.48,1.88,1,0
2023,237,25080,28.33,43.33,1.73,0.9,21.171535
2023,238,24090,29.3,43.33,1.82,2.8,0
2023,239,23980,29.48,43.98,1.93,1.3,63.514605
2023,240,24380,30.45,46.36,1.83,1.2,0
2023,241,24780,30.01,45.94,1.6,1.4,0
2023,242,24410,29.04,44.33,1.7,2.3,31.7573025
2023,243,23570,29.9,40.74,1.91,3.2,21.8
2023,244,7250,27.19,33.33,2.6,1.9,84.98614
2023,245,21790,25.46,35.75,2.58,1.5,0
2023,246,24400,24.73,38.69,2.29,1.2,0
2023,247,24570,24.53,39.31,1.87,1.7,0
2023,248,25370,21.12,39.87,1.31,2.3,0
2023,249,24730,23.35,41.22,1.29,1.3,31.7573025
2023,250,23290,24.79,42.45,1.13,1.4,0
2023,251,21370,26.55,42.96,1.25,1.4,0
2023,252,22810,28.58,44.38,1.34,1.4,84.68614
2023,253,21050,29.32,42.71,1.36,2,0
2023,254,22160,26.8,40.07,1.51,2.4,0
2023,255,20570,28.05,38.51,2.07,3.9,52.9288375
2023,256,20980,25.06,36.76,1.97,3.4,0
2023,257,22620,21.3,37.26,1.51,1.4,0
2023,258,23290,22.3,38.5,1.13,1.3,84.68614
2023,259,22720,21.97,39.74,0.99,1.4,0
2023,260,23230,22.26,40.01,0.95,2,0
2023,261,23340,22.44,39.03,0.96,2.2,0
2023,262,23580,20.12,38.05,0.74,1.9,0
2023,263,19080,22.15,38.29,0.75,3,0
2023,264,21300,19.62,36.98,0.73,2.2,0
2023,265,18150,21.15,36.21,0.67,1.7,0
2023,266,19440,21.29,36.23,0.84,1.8,0
2023,267,22040,23.07,37.64,1.13,1.2,0
2023,268,21880,21.87,39.44,0.97,1.3,0
2023,269,21690,23.29,40.35,0.92,1.4,0
2023,270,21510,22.64,40.72,0.78,1.2,0
2023,271,16580,22.54,39.95,0.96,1.7,0
2023,272,21550,19.28,39.55,0.8,1.8,0
2023,273,20870,20.04,36.69,0.69,4.5,0
2023,274,20130,18.02,32.28,1.13,1.9,0
2023,275,20150,17.46,30.5,1.04,1.9,0
2023,276,20440,16.77,31.47,0.95,1.7,0
2023,277,20570,17.46,33.84,0.87,1.2,0
2023,278,20800,17.7,37.07,0.77,1.1,0
2023,279,20710,19.94,40.3,0.94,1.3,0
2023,280,19700,24.81,39.17,1.14,3.2,0
2023,281,18810,24.48,38.1,1.09,1.8,0
2023,282,18990,23.07,38.01,1.05,1.4,0
2023,283,18880,21.2,36.51,1.17,2,0
2023,284,19080,20.33,33.54,1.1,3,0
2023,285,18850,17.8,31.86,0.83,1.8,0
2023,286,18470,16.96,32.55,0.71,1.2,0
2023,287,16570,19.17,34.18,0.84,1.2,0
2023,288,18510,18.39,38.24,0.91,1.3,0
2023,289,17910,21.82,39.63,0.95,1.5,0
2023,290,17700,21.26,38.65,0.86,1.3,0
2023,291,17820,21.59,38,0.91,1.3,0
2023,292,17730,20.78,39.62,0.85,1,0
2023,293,17550,20.8,39.99,0.81,1.1,0
2023,294,17590,21.17,38.43,0.76,1.4,0
2023,295,17220,19.52,36.88,0.85,1.8,0
2023,296,16820,18.33,31.8,1.14,2.7,0
2023,297,17160,16.95,29.29,1.18,2.3,0
2023,298,16410,15.94,29.1,1.13,1,0
2023,299,14690,16.94,28.89,1.2,1.2,0
2023,300,16340,16.93,31.27,1.11,0.9,0
2023,301,16510,15.83,30.58,0.9,2.5,0
2023,302,16360,13.44,26.39,0.42,2.1,0
2023,303,15820,9.86,27.01,0.48,2.7,0
2023,304,15860,11.62,27.9,0.52,4.1,0
2023,305,15580,11.82,28.86,0.5,3.4,0
2023,306,15620,11.26,29.83,0.58,1,0
2023,307,15380,12.24,30.83,0.57,1.1,0
2023,308,15130,12.89,32.77,0.57,1.1,0
2023,309,14640,14.75,34.38,0.57,1.3,0
2023,310,14700,17.3,34.44,0.66,1.3,0
2023,311,15610,15.81,32.41,0.7,2,0
2023,312,15530,11.9,26.2,0.65,2,0
2023,313,15330,11.86,24.29,0.5,1.5,0
2023,314,15360,10.98,24.51,0.44,1,0
2023,315,14800,10.73,26.25,0.63,1.7,0
2023,316,14720,12.12,28.68,0.74,2.4,0
2023,317,14550,14.81,30.68,0.91,1.9,0
2023,318,11990,16.99,28.72,1.09,2.7,0
2023,319,9490,17.78,29.98,1,1.4,0
2023,320,7110,17.49,26.49,1.45,1.6,7.1
2023,321,13070,15.48,27.1,1.89,0.7,0
2023,322,11710,14.78,23.85,1.82,1.6,1.3
2023,323,13900,11.1,22.69,1.13,2.5,0
2023,324,13900,9.08,22.08,0.73,1.8,0
2023,325,13900,9.31,25.51,0.79,2.4,0
2023,326,13990,9.44,24.4,0.71,1.6,0
2023,327,10200,8.72,21.86,0.72,1.1,0
2023,328,11180,9.24,22.67,0.92,2.5,0
2023,329,13530,10.84,20.31,0.67,1.6,0
2023,330,13190,5.76,21.84,0.55,1.5,0
2023,331,10310,10.98,22.77,0.68,1.2,0
2023,332,12860,11.27,23.89,0.74,1.4,0
2023,333,12070,9.15,22.21,0.72,1.9,0
2023,334,7930,8.94,18.01,0.91,1.9,3.8
2023,335,11860,10.31,17.37,1.18,1.6,6.6
2023,336,12770,6.91,18.94,1.01,1.1,0
2023,337,12570,5.62,19.66,0.88,0.5,0
2023,338,11660,6.84,21.01,0.86,0.9,0
2023,339,12520,8.21,27.48,0.91,0.8,0
2023,340,12580,9.69,27.33,0.89,1,0
2023,341,12630,11.76,24.58,0.82,0.9,0
2023,342,12760,7.74,21.64,0.72,1.4,0
2023,343,13010,3.82,19.12,0.4,2,0
2023,344,13050,4.39,22.03,0.34,1.6,0
2023,345,10160,4.85,21.72,0.47,1.2,0
2023,346,10900,9.59,21.41,0.49,1.1,0
2023,347,12380,6.63,20.79,0.45,1.3,0
2023,348,12440,5.58,19.9,0.47,0.8,0
2023,349,12550,5.07,24.31,0.58,1.1,0
2023,350,11130,8.19,26.58,0.59,1.9,0
2023,351,12750,6.61,25.96,0.54,1.1,0
2023,352,8150,10.48,25,0.62,0.8,0
2023,353,7310,11.66,24.09,0.74,1.5,2.5
2023,354,9040,13.53,23.76,1.37,1.3,3
2023,355,12040,11.84,25.1,1.15,0.9,0
2023,356,1710,11.35,15.03,1.36,3.5,23.9
2023,357,7700,9.33,15.6,1.18,1.7,0.3
2023,358,10890,7.61,16.33,1.09,0.9,0
2023,359,12010,3.47,17.19,1.02,0.8,0
2023,360,11870,2.15,16.87,0.91,0.9,0
2023,361,11020,2.54,18.56,0.8,0.7,0
2023,362,12500,4.74,19.65,0.78,0.9,0
2023,363,11280,4.06,22.36,0.73,1.3,0
2023,364,12610,6.3,22.46,0.68,1.3,0
